alcaldia,colonia,matched_pop,match_type
ALVARO OBREGON,1ra Ampliacion Presidentes,2314,spatial_centroid
ALVARO OBREGON,1ra Seccion Cañada,3309,spatial_centroid
ALVARO OBREGON,1ra Victoria,2111,exact_key
ALVARO OBREGON,2da Ampliacion Presidentes,5977,spatial_centroid
ALVARO OBREGON,2da Del Moral Del Pueblo Tetelpan,4306,spatial_centroid
ALVARO OBREGON,2da Seccion Cañada,3309,spatial_centroid
ALVARO OBREGON,2do Reacomodo Tlacuitlapa,4315,spatial_centroid
ALVARO OBREGON,8 De Agosto,2025,spatial_centroid
ALVARO OBREGON,Abraham M Gonzalez,459,fuzzy_94
ALVARO OBREGON,Acueducto,3188,exact_key
ALVARO OBREGON,Acuilotla,1927,exact_key
ALVARO OBREGON,Alcantarilla,855,exact_key
ALVARO OBREGON,Alfonso Xiii,9645,exact_key
ALVARO OBREGON,Altavista,1724,spatial_centroid
ALVARO OBREGON,Ampliacion Acueducto,3188,spatial_centroid
ALVARO OBREGON,Ampliacion Alpes,2649,spatial_centroid
ALVARO OBREGON,Ampliacion El Capulin,615,spatial_centroid
ALVARO OBREGON,Ampliacion Estado De Hidalgo,1774,spatial_centroid
ALVARO OBREGON,Ampliacion Jalalpa,3932,spatial_centroid
ALVARO OBREGON,Ampliación Jalalpa,3932,spatial_centroid
ALVARO OBREGON,Ampliacion La Cebada,1113,spatial_centroid
ALVARO OBREGON,Ampliación La Cebada,1113,spatial_centroid
ALVARO OBREGON,Ampliacion La Mexicana,6335,spatial_centroid
ALVARO OBREGON,Ampliacion Las Aguilas,8745,spatial_centroid
ALVARO OBREGON,Ampliacion Lomas De San Bernabe,8074,spatial_centroid
ALVARO OBREGON,Ampliacion Los Pirules,2988,spatial_centroid
ALVARO OBREGON,Ampliacion Piloto Adolfo Lopez Mateos,8331,spatial_centroid
ALVARO OBREGON,Ampliacion Tepeaca,1280,spatial_centroid
ALVARO OBREGON,Ampliacion Tlacuitlapa,2503,spatial_centroid
ALVARO OBREGON,Arcos Centenario,218,spatial_centroid
ALVARO OBREGON,Arturo Martinez,1707,exact_key
ALVARO OBREGON,Arvide,702,exact_key
ALVARO OBREGON,Atlamaya,1347,exact_key
ALVARO OBREGON,Ave Real,1376,exact_key
ALVARO OBREGON,Balcones De Cehuayo,973,exact_key
ALVARO OBREGON,Barrio Alfalfar,1903,spatial_centroid
ALVARO OBREGON,Barrio La Otra Banda,743,spatial_centroid
ALVARO OBREGON,Barrio Loreto,881,spatial_centroid
ALVARO OBREGON,Barrio Norte,13917,exact_key
ALVARO OBREGON,Barrio Santa Maria Nonoalco,4247,spatial_centroid
ALVARO OBREGON,Bejero Del Pueblo Santa Fe,1752,spatial_centroid
ALVARO OBREGON,Belem De Las Flores,2438,fuzzy_94
ALVARO OBREGON,Bellavista,9020,fuzzy_95
ALVARO OBREGON,Bonanza,1480,exact_key
ALVARO OBREGON,Bosque,792,spatial_centroid
ALVARO OBREGON,Calzada Jalalpa,4985,exact_key
ALVARO OBREGON,Campestre,2494,spatial_centroid
ALVARO OBREGON,Canutillo,1138,spatial_centroid
ALVARO OBREGON,Canutillo 2da Seccion,3791,spatial_centroid
ALVARO OBREGON,Canutillo 3ra Seccion,3791,exact_key
ALVARO OBREGON,Carlos A Madrazo,919,spatial_centroid
ALVARO OBREGON,Carola,8360,spatial_centroid
ALVARO OBREGON,Cehuaya,1294,spatial_centroid
ALVARO OBREGON,Chimalistac,999,exact_key
ALVARO OBREGON,Colina Del Sur,10875,fuzzy_96
ALVARO OBREGON,Colinas De Tarango,601,exact_key
ALVARO OBREGON,Cooperativa Union Olivos,703,spatial_centroid
ALVARO OBREGON,Corpus Christy,9125,exact_key
ALVARO OBREGON,Cove,3936,exact_key
ALVARO OBREGON,Cristo Rey,890,exact_key
ALVARO OBREGON,Cuevitas,3495,spatial_centroid
ALVARO OBREGON,Desarrollo Urbano,5135,exact_key
ALVARO OBREGON,Dos Rios Del Pueblo De Santa Lucia,1195,spatial_centroid
ALVARO OBREGON,Ejido San Mateo,5565,spatial_centroid
ALVARO OBREGON,El Arbol,881,exact_key
ALVARO OBREGON,El Bosque 2a Secc,441,spatial_centroid
ALVARO OBREGON,El Capulin,1500,exact_key
ALVARO OBREGON,El Cuernito,2392,spatial_centroid
ALVARO OBREGON,El Encino Del Pueblo Tetelpan,7240,spatial_centroid
ALVARO OBREGON,El Mirador Del Pueblo Tetelpan,817,spatial_centroid
ALVARO OBREGON,El Piru 2da Ampliacion,1043,spatial_centroid
ALVARO OBREGON,El Pirul,1574,exact_key
ALVARO OBREGON,El Piru Santa Fe,1574,spatial_centroid
ALVARO OBREGON,El Pocito,1096,exact_key
ALVARO OBREGON,El Politoco,507,spatial_centroid
ALVARO OBREGON,El Rincon,955,spatial_centroid
ALVARO OBREGON,El Rodeo,284,exact_key
ALVARO OBREGON,El Ruedo,136,exact_key
ALVARO OBREGON,El Tejocote,919,spatial_centroid
ALVARO OBREGON,Ermita Tizapan,8976,spatial_centroid
ALVARO OBREGON,Estado De Hidalgo,1394,exact_key
ALVARO OBREGON,Ex-Hacienda De Guadalupe Chimalistac,1257,fuzzy_95
ALVARO OBREGON,Ex Hacienda De Tarango,2525,spatial_centroid
ALVARO OBREGON,Flor De Maria,1004,exact_key
ALVARO OBREGON,Florida,6267,exact_key
ALVARO OBREGON,Francisco Villa,3505,exact_key
ALVARO OBREGON,Galeana,611,exact_key
ALVARO OBREGON,Garcimarrero,3019,exact_key
ALVARO OBREGON,Golondrinas,4009,exact_key
ALVARO OBREGON,Golondrinas 1ra Seccion,2427,exact_key
ALVARO OBREGON,Golondrinas 2da Seccion,2876,exact_key
ALVARO OBREGON,Guadalupe Inn,4103,exact_key
ALVARO OBREGON,Heron Proal,2634,exact_key
ALVARO OBREGON,Hidalgo,1394,spatial_centroid
ALVARO OBREGON,Hogar Y Redencion,3162,exact_key
ALVARO OBREGON,Hueytlale,3791,spatial_centroid
ALVARO OBREGON,Isidro Fabela,1868,exact_key
ALVARO OBREGON,Jalalpa,5281,exact_key
ALVARO OBREGON,Jalalpa El Grande,11555,exact_key
ALVARO OBREGON,Jalalpa Tepito,3932,exact_key
ALVARO OBREGON,Jalalpa Tepito 2da Ampliacion,4789,spatial_centroid
ALVARO OBREGON,Jardines Del Pedregal,15200,exact_key
ALVARO OBREGON,Jose Maria Pino Suarez,6061,exact_key
ALVARO OBREGON,La Angostura,2966,exact_key
ALVARO OBREGON,La Araña,942,exact_key
ALVARO OBREGON,La Cascada,2187,exact_key
ALVARO OBREGON,La Conchita,3160,exact_key
ALVARO OBREGON,Ladera,421,spatial_centroid
ALVARO OBREGON,La Estrella,3495,spatial_centroid
ALVARO OBREGON,La Herradura Del Pueblo Tetelpan,3887,spatial_centroid
ALVARO OBREGON,La Huerta,492,exact_key
ALVARO OBREGON,La Joya,2546,exact_key
ALVARO OBREGON,La Joyita Del Pueblo Tetelpan,7240,spatial_centroid
ALVARO OBREGON,La Martinica,2525,exact_key
ALVARO OBREGON,La Mexicana,6335,exact_key
ALVARO OBREGON,La Mexicana 2da Ampliacion,6335,spatial_centroid
ALVARO OBREGON,La Milagrosa,669,exact_key
ALVARO OBREGON,La Otra Banda,743,exact_key
ALVARO OBREGON,La Palmita,1580,exact_key
