alcaldia,colonia_crime,colonia_geo,match_type,matched
ALVARO OBREGON,16 De Septiembre,16 De Septiembre,cross_alcaldia,True
ALVARO OBREGON,19 De Mayo,,unmatched,False
ALVARO OBREGON,1ra Ampliacion Presidentes,1ra Ampliacion Presidentes,direct,True
ALVARO OBREGON,1ra Seccion Cañada,1ra Seccion Cañada,direct,True
ALVARO OBREGON,1ra Victoria,1ra Victoria,direct,True
ALVARO OBREGON,2a. Ampliacion Jalalpa El Grande,,unmatched,False
ALVARO OBREGON,2a Ampliación Jalalpa Tepito,,unmatched,False
ALVARO OBREGON,2da Ampliacion Presidentes,2da Ampliacion Presidentes,direct,True
ALVARO OBREGON,2da Del Moral Del Pueblo Tetelpan,2da Del Moral Del Pueblo Tetelpan,direct,True
ALVARO OBREGON,2da Seccion Cañada,2da Seccion Cañada,direct,True
ALVARO OBREGON,2do Reacomodo Tlacuitlapa,2do Reacomodo Tlacuitlapa,direct,True
ALVARO OBREGON,2o Reacomodo Corpus Christi,,unmatched,False
ALVARO OBREGON,2o Reacomodo Tlacuitlapa,2do Reacomodo Tlacuitlapa,fuzzy_0.98,True
ALVARO OBREGON,8 De Agosto,8 De Agosto,direct,True
ALVARO OBREGON,Abraham M Gonzalez,Abraham M Gonzalez,direct,True
ALVARO OBREGON,Acacias,Acacias,cross_alcaldia,True
ALVARO OBREGON,Actipan,Actipan,cross_alcaldia,True
ALVARO OBREGON,Acueducto,Acueducto,direct,True
ALVARO OBREGON,Acuilotla,Acuilotla,direct,True
ALVARO OBREGON,Alcantarilla,Alcantarilla,direct,True
ALVARO OBREGON,Alfonso Xiii,Alfonso Xiii,direct,True
ALVARO OBREGON,Altavista,Altavista,direct,True
ALVARO OBREGON,Alvaro Obregon,Alvaro Obregon,cross_alcaldia_ambiguous,True
ALVARO OBREGON,America,America,cross_alcaldia,True
ALVARO OBREGON,Ampliacion Acueducto,Ampliacion Acueducto,direct,True
ALVARO OBREGON,Ampliacion Alpes,Ampliacion Alpes,direct,True
ALVARO OBREGON,Ampliacion El Capulin,Ampliacion El Capulin,direct,True
ALVARO OBREGON,Ampliacion Estado De Hidalgo,Ampliacion Estado De Hidalgo,direct,True
ALVARO OBREGON,Ampliacion Fuentes Del Pedregal,Ampliacion Fuentes Del Pedregal,cross_alcaldia,True
ALVARO OBREGON,Ampliacion Jalalpa,Ampliacion Jalalpa,direct,True
ALVARO OBREGON,Ampliación Jalalpa,Ampliacion Jalalpa,direct,True
ALVARO OBREGON,Ampliacion La Cebada,Ampliacion La Cebada,direct,True
ALVARO OBREGON,Ampliación La Cebada,Ampliacion La Cebada,direct,True
ALVARO OBREGON,Ampliacion La Mexicana,Ampliacion La Mexicana,direct,True
ALVARO OBREGON,Ampliacion Las Aguilas,Ampliacion Las Aguilas,direct,True
ALVARO OBREGON,Ampliacion Lomas De San Bernabe,Lomas De San Bernabe,loose_prefix,True
ALVARO OBREGON,Ampliacion Los Pirules,Ampliacion Los Pirules,direct,True
ALVARO OBREGON,Ampliacion Piloto Adolfo Lopez Mateos,Ampliacion Piloto Adolfo Lopez Mateos,direct,True
ALVARO OBREGON,Ampliacion Tepeaca,Ampliacion Tepeaca,direct,True
ALVARO OBREGON,Ampliacion Tlacuitlapa,Ampliacion Tlacuitlapa,direct,True
ALVARO OBREGON,Ampliacion Tlacuitlapa Ii,Ampliacion Tlacuitlapa,fuzzy_0.94,True
ALVARO OBREGON,Arcos Centenario,Arcos Centenario,direct,True
ALVARO OBREGON,Arturo Martinez,Arturo Martinez,direct,True
ALVARO OBREGON,Arvide,Arvide,direct,True
ALVARO OBREGON,Atlamaya,Atlamaya,direct,True
ALVARO OBREGON,Ave Real,Ave Real,direct,True
ALVARO OBREGON,Balcones De Cehuayo,Balcones De Cehuayo,direct,True
ALVARO OBREGON,Barrio Alfalfar,Barrio Alfalfar,direct,True
ALVARO OBREGON,Barrio La Otra Banda,Barrio La Otra Banda,direct,True
ALVARO OBREGON,Barrio Loreto,Barrio Loreto,direct,True
ALVARO OBREGON,Barrio Norte,Barrio Norte,direct,True
ALVARO OBREGON,Barrio Oxtopulco Universidad,Barrio Oxtopulco Universidad,cross_alcaldia,True
ALVARO OBREGON,Barrio Santa Catarina,Barrio Santa Catarina,cross_alcaldia,True
ALVARO OBREGON,Barrio Santa Maria Nonoalco,Barrio Santa Maria Nonoalco,direct,True
ALVARO OBREGON,Bejero Del Pueblo Santa Fe,Bejero Del Pueblo Santa Fe,direct,True
ALVARO OBREGON,Belem De Las Flores,Belem De Las Flores,direct,True
ALVARO OBREGON,Bellavista,Bellavista,direct,True
ALVARO OBREGON,Bonanza,Bonanza,direct,True
ALVARO OBREGON,Bosque,Bosque,direct,True
ALVARO OBREGON,Calzada Jalalpa,Calzada Jalalpa,direct,True
ALVARO OBREGON,Campestre,Campestre,direct,True
ALVARO OBREGON,Campestre Palo Alto,Campestre Palo Alto,cross_alcaldia,True
ALVARO OBREGON,Campo De Tiro Los Gamitos,,unmatched,False
ALVARO OBREGON,Canutillo,Canutillo,direct,True
ALVARO OBREGON,Canutillo 2da Seccion,Canutillo 2da Seccion,direct,True
ALVARO OBREGON,Canutillo 3ra Seccion,Canutillo 3ra Seccion,direct,True
ALVARO OBREGON,Carlos A Madrazo,Carlos A Madrazo,direct,True
ALVARO OBREGON,Carola,Carola,direct,True
ALVARO OBREGON,Cehuaya,Cehuaya,direct,True
ALVARO OBREGON,Chimalistac,Chimalistac,direct,True
ALVARO OBREGON,Ciudad Universitaria,Ciudad Universitaria,cross_alcaldia,True
ALVARO OBREGON,Colina Del Sur,Colina Del Sur,direct,True
ALVARO OBREGON,Colinas De Tarango,Colinas De Tarango,direct,True
ALVARO OBREGON,Cooperativa Union Olivos,Cooperativa Union Olivos,direct,True
ALVARO OBREGON,Copilco El Bajo,Copilco El Bajo,cross_alcaldia,True
ALVARO OBREGON,Corpus Christy,Corpus Christy,direct,True
ALVARO OBREGON,Cove,Cove,direct,True
ALVARO OBREGON,Credito Constructor,Credito Constructor,cross_alcaldia,True
ALVARO OBREGON,Cristo Rey,Cristo Rey,direct,True
ALVARO OBREGON,Cuevitas,Cuevitas,direct,True
ALVARO OBREGON,Daniel Garza,Daniel Garza,cross_alcaldia,True
ALVARO OBREGON,Del Carmen,Del Carmen,cross_alcaldia_ambiguous,True
ALVARO OBREGON,Desarrollo Urbano,Desarrollo Urbano,direct,True
ALVARO OBREGON,Desarrollo Urbano El Piru,,unmatched,False
ALVARO OBREGON,Dos Rios Del Pueblo De Santa Lucia,Dos Rios Del Pueblo De Santa Lucia,direct,True
ALVARO OBREGON,Ejido San Mateo,Ejido San Mateo,direct,True
ALVARO OBREGON,El Arbol,El Arbol,direct,True
ALVARO OBREGON,El Arbol Ampliacion,,unmatched,False
ALVARO OBREGON,El Bosque 2a Secc,El Bosque 2a Secc,direct,True
ALVARO OBREGON,El Capulin,El Capulin,direct,True
ALVARO OBREGON,El Cuernito,El Cuernito,direct,True
ALVARO OBREGON,El Encino Del Pueblo Tetelpan,El Encino Del Pueblo Tetelpan,direct,True
ALVARO OBREGON,El Maestro,El Maestro,cross_alcaldia,True
ALVARO OBREGON,El Mirador Del Pueblo Tetelpan,El Mirador Del Pueblo Tetelpan,direct,True
ALVARO OBREGON,El Piru 2da Ampliacion,El Piru 2da Ampliacion,direct,True
ALVARO OBREGON,El Pirul,El Pirul,direct,True
ALVARO OBREGON,El Piru Santa Fe,El Piru Santa Fe,direct,True
ALVARO OBREGON,El Pocito,El Pocito,direct,True
ALVARO OBREGON,El Politoco,El Politoco,direct,True
ALVARO OBREGON,El Rincon,El Rincon,direct,True
ALVARO OBREGON,El Rodeo,El Rodeo,direct,True
ALVARO OBREGON,El Ruedo,El Ruedo,direct,True
ALVARO OBREGON,El Tanque,El Tanque,cross_alcaldia,True
ALVARO OBREGON,El Tejocote,El Tejocote,direct,True
ALVARO OBREGON,Ermita Tizapan,Ermita Tizapan,direct,True
ALVARO OBREGON,Estado De Hidalgo,Estado De Hidalgo,direct,True
ALVARO OBREGON,Ex-Hacienda De Guadalupe Chimalistac,Ex-Hacienda De Guadalupe Chimalistac,direct,True
ALVARO OBREGON,Ex Hacienda De Tarango,Ex Hacienda De Tarango,direct,True
ALVARO OBREGON,Flor De Maria,Flor De Maria,direct,True
ALVARO OBREGON,Florida,Florida,direct,True
ALVARO OBREGON,Francisco Villa,Francisco Villa,direct,True
ALVARO OBREGON,Galeana,Galeana,direct,True
ALVARO OBREGON,Gamitos,,unmatched,False
ALVARO OBREGON,Garcimarrero,Garcimarrero,direct,True
ALVARO OBREGON,Golondrinas,Golondrinas,direct,True
ALVARO OBREGON,Golondrinas 1ra Seccion,Golondrinas 1ra Seccion,direct,True
ALVARO OBREGON,Golondrinas 2da Seccion,Golondrinas 2da Seccion,direct,True
ALVARO OBREGON,Guadalupe Inn,Guadalupe Inn,direct,True
ALVARO OBREGON,Heroes De Padierna,Heroes De Padierna,cross_alcaldia_ambiguous,True
ALVARO OBREGON,Heron Proal,Heron Proal,direct,True
ALVARO OBREGON,Hidalgo,Hidalgo,direct,True
ALVARO OBREGON,Hogar Y Redencion,Hogar Y Redencion,direct,True
ALVARO OBREGON,Hueytlale,Hueytlale,direct,True
ALVARO OBREGON,Isidro Fabela,Isidro Fabela,direct,True
ALVARO OBREGON,Jalalpa,Ampliacion Jalalpa,loose_prefix,True
ALVARO OBREGON,Jalalpa El Grande,Jalalpa El Grande,direct,True
ALVARO OBREGON,Jalalpa El Grande 1er. Reacomodo,,unmatched,False
ALVARO OBREGON,Jalalpa Tepito,Jalalpa Tepito,direct,True
ALVARO OBREGON,Jalalpa Tepito 2da Ampliacion,Jalalpa Tepito 2da Ampliacion,direct,True
ALVARO OBREGON,Jardines Del Pedregal,Jardines Del Pedregal,direct,True
ALVARO OBREGON,Jardines Del Pedregal De San Angel,Jardines Del Pedregal De San Angel,cross_alcaldia,True
ALVARO OBREGON,Jose Maria Pino Suarez,Jose Maria Pino Suarez,direct,True
ALVARO OBREGON,La Angostura,La Angostura,direct,True
ALVARO OBREGON,La Araña,La Araña,direct,True
ALVARO OBREGON,La Cascada,La Cascada,direct,True
ALVARO OBREGON,La Conchita,La Conchita,direct,True
ALVARO OBREGON,Ladera,Ladera,direct,True
ALVARO OBREGON,La Estrella,La Estrella,direct,True
ALVARO OBREGON,La Herradura Del Pueblo Tetelpan,La Herradura Del Pueblo Tetelpan,direct,True
ALVARO OBREGON,La Huerta,La Huerta,direct,True
ALVARO OBREGON,La Joya,La Joya,direct,True
ALVARO OBREGON,La Joyita Del Pueblo Tetelpan,La Joyita Del Pueblo Tetelpan,direct,True
ALVARO OBREGON,La Loma,,unmatched,False
ALVARO OBREGON,La Martinica,La Martinica,direct,True
ALVARO OBREGON,La Mexicana,La Mexicana,direct,True
ALVARO OBREGON,La Mexicana 2da Ampliacion,La Mexicana 2da Ampliacion,direct,True
ALVARO OBREGON,La Milagrosa,La Milagrosa,direct,True
ALVARO OBREGON,La Otra Banda,Barrio La Otra Banda,loose_prefix,True
ALVARO OBREGON,La Palmita,La Palmita,direct,True
ALVARO OBREGON,La Peñita Del Pueblo Tetelpan,La Peñita Del Pueblo Tetelpan,direct,True
ALVARO OBREGON,La Presa,La Presa,direct,True
ALVARO OBREGON,Las Aguilas,Las Aguilas,direct,True
ALVARO OBREGON,Las Aguilas 1ra Seccion,Las Aguilas 1ra Seccion,direct,True
ALVARO OBREGON,Las Aguilas 2do Parque,Las Aguilas 2do Parque,direct,True
ALVARO OBREGON,Las Aguilas 3er Parque,Las Aguilas 3er Parque,direct,True
ALVARO OBREGON,Las Americas,Las Americas,direct,True
ALVARO OBREGON,Las Cruces,Las Cruces,cross_alcaldia,True
ALVARO OBREGON,Liberacion Proletaria,Liberacion Proletaria,direct,True
ALVARO OBREGON,Liberales De 1857,Liberales De 1857,direct,True
ALVARO OBREGON,Llano Redondo,Llano Redondo,direct,True
ALVARO OBREGON,Lomas Altas,Lomas Altas,cross_alcaldia,True
ALVARO OBREGON,Lomas Axomiatla,Lomas Axomiatla,direct,True
ALVARO OBREGON,Lomas De Becerra,Lomas De Becerra,direct,True
ALVARO OBREGON,Lomas De Bezares,Lomas De Bezares,cross_alcaldia,True
ALVARO OBREGON,Lomas De Capula,Lomas De Capula,direct,True
ALVARO OBREGON,Lomas De Chamontoya,Lomas De Chamontoya,direct,True
ALVARO OBREGON,Lomas De Guadalupe,Lomas De Guadalupe,direct,True
ALVARO OBREGON,Lomas De La Era,Lomas De La Era,direct,True
ALVARO OBREGON,Lomas De Las Aguilas,Lomas De Las Aguilas,direct,True
ALVARO OBREGON,Lomas Del Capulin,Lomas De Capula,fuzzy_0.88,True
ALVARO OBREGON,Lomas De Los Angeles Pueblo Tetelpan,Lomas De Los Angeles Pueblo Tetelpan,direct,True
ALVARO OBREGON,Lomas De Los Cedros,Lomas De Los Cedros,direct,True
ALVARO OBREGON,Lomas De Nuevo Mexico,Lomas De Nuevo Mexico,direct,True
ALVARO OBREGON,Lomas De Plateros,Lomas De Plateros,direct,True
ALVARO OBREGON,Lomas De Puerta Grande,Lomas De Puerta Grande,direct,True
ALVARO OBREGON,Lomas De San Angel Inn,Lomas De San Angel Inn,direct,True
ALVARO OBREGON,Lomas De San Bernabe,Lomas De San Bernabe,direct,True
ALVARO OBREGON,Lomas De Santa Fe,Lomas De Santa Fe,direct,True
ALVARO OBREGON,Lomas De Tarango,Lomas De Tarango,direct,True
ALVARO OBREGON,Lomas De Vista Hermosa,Lomas De Vista Hermosa,cross_alcaldia,True
ALVARO OBREGON,Los Alpes,Los Alpes,direct,True
ALVARO OBREGON,Los Cedros,Los Cedros,direct,True
ALVARO OBREGON,Los Gamitos,Los Gamitos,direct,True
ALVARO OBREGON,Los Juristas,Los Juristas,direct,True
ALVARO OBREGON,Margarita Maza De Juarez,Margarita Maza De Juarez,direct,True
ALVARO OBREGON,Maria G De Garcia Ruiz,Maria G De Garcia Ruiz,direct,True
ALVARO OBREGON,Martires De Tacubaya,Martires De Tacubaya,direct,True
ALVARO OBREGON,Merced Gomez,Merced Gomez,direct,True
ALVARO OBREGON,Miguel Gaona Armenta,Miguel Gaona Armenta,direct,True
ALVARO OBREGON,Miguel Hidalgo,Miguel Hidalgo,direct,True
ALVARO OBREGON,Minas Cristo Rey,Minas Cristo Rey,direct,True
ALVARO OBREGON,Mixcoac,Mixcoac,cross_alcaldia,True
ALVARO OBREGON,Molino De Rosas,Molino De Rosas,direct,True
ALVARO OBREGON,Molino De Santo Domingo,Molino De Santo Domingo,direct,True
ALVARO OBREGON,Observatorio,Observatorio,cross_alcaldia,True
ALVARO OBREGON,Ocotillos Del Pueblo Tetelpan,Ocotillos Del Pueblo Tetelpan,direct,True
ALVARO OBREGON,Olivar Del Conde 1ra Seccion,Olivar Del Conde 1ra Seccion,direct,True
ALVARO OBREGON,Olivar Del Conde 2da Seccion,Olivar Del Conde 2da Seccion,direct,True
ALVARO OBREGON,Olivar De Los Padres,Olivar De Los Padres,direct,True
ALVARO OBREGON,Palmas,Palmas,direct,True
ALVARO OBREGON,Palmas Axotitla,Palmas Axotitla,direct,True
ALVARO OBREGON,Panteon Civil De Dolores,Panteon Civil De Dolores,cross_alcaldia,True
ALVARO OBREGON,Paraiso,Paraiso,direct,True
ALVARO OBREGON,Paraje Del Caballito,,unmatched,False
ALVARO OBREGON,Paseo De Las Lomas,Paseo De Las Lomas,direct,True
ALVARO OBREGON,Piloto Adolfo Lopez Mateos,Piloto Adolfo Lopez Mateos,direct,True
ALVARO OBREGON,Piru Santa Lucia,Piru Santa Lucia,direct,True
ALVARO OBREGON,Polvora,Polvora,direct,True
ALVARO OBREGON,Ponciano Arriaga,Ponciano Arriaga,direct,True
ALVARO OBREGON,Preconcreto,Preconcreto,direct,True
ALVARO OBREGON,Presidentes,Presidentes,direct,True
ALVARO OBREGON,Profesor J Arturo Lopez Martinez,Profesor J Arturo Lopez Martinez,direct,True
ALVARO OBREGON,Progreso Tizapan,Progreso Tizapan,direct,True
ALVARO OBREGON,Pueblo Axotla,Pueblo Axotla,direct,True
ALVARO OBREGON,Pueblo Nuevo,Pueblo Nuevo,direct,True
ALVARO OBREGON,Pueblo San Bartolo Ameyalco,Pueblo San Bartolo Ameyalco,direct,True
ALVARO OBREGON,Pueblo San Bernabe Ocotepec,Pueblo San Bernabe Ocotepec,cross_alcaldia,True
ALVARO OBREGON,Pueblo San Mateo Tlaltenango,Pueblo San Mateo Tlaltenango,cross_alcaldia,True
ALVARO OBREGON,Pueblo Santa Fe,Pueblo Santa Fe,direct,True
ALVARO OBREGON,Pueblo Santa Lucia,Pueblo Santa Lucia,direct,True
ALVARO OBREGON,Pueblo Santa Lucia Chantepec,Pueblo Santa Lucia Chantepec,direct,True
ALVARO OBREGON,Pueblo Santa Rosa Xochiac,Pueblo Santa Rosa Xochiac,direct,True
ALVARO OBREGON,Pueblo Tetelpan,Pueblo Tetelpan,direct,True
ALVARO OBREGON,Pueblo Tizapan,Pueblo Tizapan,direct,True
ALVARO OBREGON,Pueblo Tlacopac,Pueblo Tlacopac,direct,True
ALVARO OBREGON,Puente Colorado,Puente Colorado,direct,True
ALVARO OBREGON,Puerta Grande,Puerta Grande,direct,True
ALVARO OBREGON,Punta De Ceguaya,Punta De Ceguaya,direct,True
ALVARO OBREGON,Rancho Del Carmen Del Pueblo San Bartolo Ameyalco,Rancho Del Carmen Del Pueblo San Bartolo Ameyalco,direct,True
ALVARO OBREGON,Rancho San Francisco Del Pblo San Bartolo Ameyalco,Rancho San Francisco Del Pblo San Bartolo Ameyalco,direct,True
ALVARO OBREGON,Reacomodo El Cuernito,Reacomodo El Cuernito,direct,True
ALVARO OBREGON,Reacomodo Pino Suarez,Reacomodo Pino Suarez,direct,True
