alcaldia,colonia_crime,colonia_geo,match_type,matched,n_points,lat,lng
ALVARO OBREGON,19 De Mayo,,no_points,False,1,,
ALVARO OBREGON,2a. Ampliacion Jalalpa El Grande,,spatial_miss,False,11,19.368484655146272,-99.24616865932795
ALVARO OBREGON,2a Ampliación Jalalpa Tepito,Jalalpa Tepito 2da Ampliacion,spatial,True,28,19.37438200400816,-99.23819073588092
ALVARO OBREGON,2o Reacomodo Corpus Christi,,no_points,False,2,,
ALVARO OBREGON,Campo De Tiro Los Gamitos,,spatial_miss,False,9,19.380186929280445,-99.23786712928822
ALVARO OBREGON,Desarrollo Urbano El Piru,,spatial_miss,False,8,19.384088515502285,-99.22067844408608
ALVARO OBREGON,El Arbol Ampliacion,,spatial_miss,False,5,19.37864787499536,-99.23562864122992
ALVARO OBREGON,Gamitos,,no_points,False,2,,
ALVARO OBREGON,Jalalpa El Grande 1er. Reacomodo,,spatial_miss,False,40,19.37138550569461,-99.24122312894904
ALVARO OBREGON,La Loma,,spatial_miss,False,39,19.375770868575245,-99.2373888886884
ALVARO OBREGON,Paraje Del Caballito,,spatial_miss,False,28,19.307714513783672,-99.27172039337069
ALVARO OBREGON,Reserva Ecologica Torres De Potrero,,spatial_miss,False,6,19.327633239311666,-99.23928223815317
AZCAPOTZALCO,Las Armas,,no_points,False,1,,
COYOACAN,Ampliacion San Francisco Culhuacan,,no_points,False,0,,
COYOACAN,Unidad Obrero Hab. Ctm Culhuacan Zona 13,,spatial_miss,False,4,19.312286243765474,-99.0993127576404
COYOACAN,Universidad Nacional Autónoma De México,,no_points,False,0,,
CUAJIMALPA DE MORELOS,Club De Golf Bosques,,spatial_miss,False,5,19.37985892304008,-99.28292578217214
CUAJIMALPA DE MORELOS,Cola De Pato - Pueblo,,spatial_miss,False,50,19.306218096969264,-99.33992947264716
CUAJIMALPA DE MORELOS,La Navidad,,spatial_miss,False,12,19.3769235767632,-99.28689304500475
CUAJIMALPA DE MORELOS,Lomas Del Chamizal,,spatial_miss,False,15,19.397143728065046,-99.26274086525444
CUAUHTEMOC,Centro (Área 1),,no_points,False,0,,
GUSTAVO A. MADERO,Arboledas De Cuautepec El Alto,Arboledas,spatial,True,55,19.56264679808083,-99.12170817708221
GUSTAVO A. MADERO,Ejidos San Juan De Aragon 1a Seccion,,no_points,False,1,,
GUSTAVO A. MADERO,La Forestal 2,,spatial_miss,False,20,19.56599262327563,-99.12479254990575
GUSTAVO A. MADERO,Lindavista,,no_points,False,0,,
GUSTAVO A. MADERO,Lomas De San Juan Ixhuatepec 2a Sección,,spatial_miss,False,3,19.510504183217133,-99.1069114246963
GUSTAVO A. MADERO,Veronica Castro,,spatial_miss,False,3,19.572621427944433,-99.12771646923494
IZTAPALAPA,Area Federal Parque Ecologico El Salado,,no_points,False,1,,
IZTAPALAPA,La Colmena,,spatial_miss,False,12,19.371962843591618,-98.99906894968856
IZTAPALAPA,La Valenciana,,no_points,False,2,,
IZTAPALAPA,Lomas Estrella 2a Seccion,,spatial_miss,False,5,19.312685050693656,-99.09476825906032
IZTAPALAPA,Predio El Molino,,spatial_miss,False,11,19.286750916655762,-99.07229896163471
IZTAPALAPA,San Miguel Teotongo,San Miguel Teotongo Secc Corrales,spatial,True,124,19.336337762860605,-98.99097564994236
IZTAPALAPA,Siracusa 240,,no_points,False,1,,
IZTAPALAPA,Solidaridad,,spatial_miss,False,12,19.37530540466545,-99.00451892750927
IZTAPALAPA,Triangulo De Las Agujas,El Vergel,spatial,True,8,19.304574526674426,-99.08749016371173
LA MAGDALENA CONTRERAS,El Gavillero,,no_points,False,1,,
LA MAGDALENA CONTRERAS,Ixtlahualtongo,,no_points,False,1,,
LA MAGDALENA CONTRERAS,Tierra Colorada,,spatial_miss,False,385,19.271648539098937,-99.24609606042794
MIGUEL HIDALGO,Militar 1 K Lomas De Sotelo,,spatial_miss,False,13,19.43082033865983,-99.22432452140275
MIGUEL HIDALGO,Panteon Frances,,no_points,False,1,,
MILPA ALTA,Cruztitla (San Antonio Tecomitl),,spatial_miss,False,74,19.211204334898767,-99.0007155275661
MILPA ALTA,Emiliano Zapata 1a Seccion,La Conchita,spatial,True,3,19.21140258744,-98.97313365006
MILPA ALTA,Emiliano Zapata 2a Seccion,La Conchita,spatial,True,11,19.20733095311956,-98.96838161600576
MILPA ALTA,La Concepción (Villa Milpa Alta),,spatial_miss,False,76,19.18530685056453,-99.02093365500292
MILPA ALTA,La Luz (Villa Milpa Alta),,spatial_miss,False,101,19.183313161975722,-99.02734771337335
